NA,SI,AL,CR,CU,FE,PB,SN,MO,AG,MN,TI,V,BA,CA,MG,P,B,ZN,NI,LI,K,CD,KV40,Water,Status,Outliers,Interpretation
10.0,6.9,1.8,0.2,8.4,46.0,1.6,1.0,0.4,0.0,2.5,0.0,0.0,0.1,2738.0,8.8,1384.0,75.0,1131.0,1.0,1.8,2.0,0.0,127.4,0.1,Normal,[],Condition satisfactory.
11.0,9.7,1.5,0.4,11.0,54.0,1.6,1.1,0.4,0.0,2.4,0.1,0.0,0.1,2695.0,9.6,1481.0,73.0,1086.0,1.6,1.8,2.3,0.0,129.1,0.1,Normal,[],Condition satisfactory.
9.6,8.6,0.9,0.4,31.0,64.0,3.0,1.1,0.5,0.0,1.9,0.0,0.0,0.0,2259.0,8.4,1352.0,65.0,933.0,2.1,1.9,2.4,0.0,128.2,0.1,Normal,[],Condition satisfactory.
13.0,8.2,1.4,0.2,23.0,33.0,1.0,1.1,0.6,0.0,1.5,0.0,0.0,0.0,3602.0,12.0,1116.0,96.0,1484.0,0.5,1.9,2.8,0.0,108.9,0.1,Normal,[],Condition satisfactory.
12.0,7.8,1.4,0.1,5.3,22.0,90.0,1.0,0.5,0.0,0.8,0.0,0.0,0.2,3471.0,11.0,1077.0,92.0,1434.0,0.1,2.6,3.0,0.0,106.6,0.1,Caution,['PB'],Visible debris present. The level of Lead suggests possible wear of a bearing or bush type material. Advice : Resample at the next service intervention.
14.0,8.6,1.5,0.2,12.0,31.0,0.9,1.2,0.6,0.0,1.4,0.1,0.0,0.0,3902.0,13.0,1158.0,104.0,1560.0,0.7,1.9,3.3,0.0,110.3,0.1,Normal,[],Condition satisfactory.
14.0,8.5,1.6,0.2,19.0,36.0,0.9,1.4,0.6,0.0,2.3,0.0,0.0,0.0,3841.0,13.0,1187.0,105.0,1569.0,1.3,1.9,3.1,0.0,109.3,0.1,Normal,[],Condition satisfactory.
16.0,11.0,2.2,0.2,6.8,28.0,0.0,0.8,0.9,0.0,1.8,0.5,0.0,0.1,3787.0,14.0,1163.0,105.0,1520.0,0.3,1.9,2.1,0.0,115.9,0.1,Normal,[],Condition satisfactory.
17.0,20.0,4.8,0.8,30.0,77.0,0.0,1.5,0.7,0.0,6.1,2.1,0.0,0.2,3848.0,14.0,1173.0,108.0,1551.0,0.6,2.0,2.9,0.0,110.9,0.1,Normal,['TI'],Condition satisfactory.
16.0,10.0,2.1,0.2,9.5,37.0,0.0,1.2,0.9,0.0,2.0,0.4,0.0,0.2,3699.0,13.0,1120.0,103.0,1497.0,0.3,2.3,2.4,0.0,115.1,0.1,Normal,[],Condition satisfactory.
13.0,9.9,2.7,0.6,34.0,94.0,0.0,1.2,2.0,0.0,2.8,0.1,0.0,0.1,2965.0,14.0,1270.0,87.0,1211.0,0.6,2.0,2.2,0.0,113.8,0.1,Normal,[],Condition satisfactory.
13.0,12.0,3.3,0.6,33.0,91.0,0.0,1.3,2.1,0.0,3.8,0.4,0.0,0.1,2994.0,15.0,1247.0,87.0,1218.0,0.4,2.0,2.1,0.0,115.4,0.1,Normal,[],Condition satisfactory.
12.0,7.9,1.8,0.2,23.0,41.0,0.0,1.0,1.8,0.0,1.9,0.1,0.0,0.1,2831.0,13.0,1266.0,84.0,1190.0,0.2,2.0,2.0,0.0,117.9,0.1,Normal,[],Condition satisfactory.
13.0,12.0,1.5,0.9,11.0,110.0,2.5,0.2,3.1,0.0,4.9,0.3,0.1,0.2,3514.0,22.0,1084.0,114.0,1435.0,1.4,0.1,0.9,0.1,103.8,0.1,Normal,[],Condition satisfactory.
9.0,18.0,6.0,0.4,2.5,43.0,94.0,0.7,3.2,0.0,0.6,0.8,0.1,1.5,3447.0,22.0,1073.0,107.0,1382.0,0.1,0.2,2.7,0.0,105.4,0.1,Caution,['PB'],Visible debris present. The level of Lead suggests possible wear of a bearing or bush type material. Advice : Resample at the next service intervention.
12.0,13.0,2.2,0.9,9.0,117.0,1.6,0.2,2.5,0.0,4.8,0.2,0.1,0.2,3229.0,21.0,1027.0,101.0,1355.0,1.5,0.1,0.6,0.0,103.8,0.1,Normal,[],Condition satisfactory.
13.0,13.0,1.8,0.8,16.0,69.0,3.1,0.0,3.0,0.0,2.5,0.4,0.1,0.1,3255.0,22.0,1058.0,108.0,1353.0,1.4,0.1,3.6,0.0,99.8,0.1,Normal,[],Condition satisfactory.
15.0,7.1,1.2,0.3,6.9,29.0,0.4,0.0,4.7,0.0,1.1,0.0,0.0,0.1,3560.0,15.0,1166.0,121.0,1477.0,0.6,0.0,0.5,0.0,99.2,0.1,Normal,[],Condition satisfactory.
16.0,8.3,1.2,0.4,84.0,61.0,5.1,0.0,4.5,0.0,2.0,0.0,0.1,0.1,3662.0,16.0,1198.0,123.0,1520.0,1.2,0.0,0.7,0.0,98.6,0.1,Serious,[],Visible debris present. The level of Copper suggests wear of bearing; bush or bearing cage type material. Advice : Change oil if not changed when sampled.   
11.0,34.0,12.0,0.9,5.8,86.0,178.0,0.0,4.3,0.0,1.4,0.5,0.1,0.9,3555.0,18.0,1162.0,116.0,1393.0,0.5,0.6,5.5,0.0,97.1,0.1,Serious,['PB'],Visible debris present. The level of Lead suggests possible wear of a bearing or bush type material. Advice : Identify source of ingress into system (e.g. product storage conditions & system seals) and feedback findings. Change oil if not changed when sampled.
15.0,9.5,1.3,0.5,28.0,63.0,2.1,0.0,4.2,0.0,1.8,0.1,0.1,0.1,3440.0,14.0,1163.0,117.0,1436.0,0.8,0.0,0.5,0.0,98.9,0.1,Normal,[],Condition satisfactory.
13.0,5.2,0.9,0.3,5.8,21.0,0.3,0.0,0.3,0.0,2.3,0.0,0.0,0.1,3435.0,8.7,1077.0,107.0,1381.0,0.5,0.1,1.1,0.0,109.8,0.1,Normal,[],Condition satisfactory.
12.0,5.9,0.8,0.3,2.8,18.0,0.6,0.2,0.7,0.1,1.6,0.1,0.1,0.1,3646.0,8.6,1131.0,110.0,1504.0,0.6,0.1,0.9,0.0,110.8,0.1,Normal,[],Condition satisfactory.
13.0,6.0,0.8,0.3,6.9,19.0,1.4,0.0,0.6,0.0,3.9,0.0,0.0,0.1,3477.0,9.4,1111.0,106.0,1431.0,0.8,0.1,0.9,0.0,108.0,0.1,Normal,[],Condition satisfactory.
14.0,12.0,2.8,1.0,28.0,102.0,0.6,0.0,1.0,0.0,3.6,0.4,0.1,0.1,2693.0,9.3,1314.0,89.0,1093.0,0.5,0.0,0.5,0.0,122.3,0.1,Normal,[],Condition satisfactory.
13.0,12.0,3.5,1.0,27.0,109.0,0.4,0.7,1.2,0.0,3.9,0.4,0.1,0.1,2812.0,10.0,1356.0,92.0,1128.0,0.3,0.0,0.5,0.0,122.7,0.1,Normal,[],Condition satisfactory.
16.0,8.9,1.6,0.5,18.0,36.0,0.6,0.9,1.4,0.1,0.8,0.1,0.1,0.4,3697.0,13.0,1132.0,117.0,1494.0,0.1,2.0,0.7,0.1,107.2,0.1,Normal,[],Condition satisfactory.
13.0,11.0,3.0,0.9,23.0,92.0,0.3,0.6,0.9,0.0,3.6,0.4,0.0,0.3,2782.0,8.5,1353.0,91.0,1130.0,0.4,0.0,0.6,0.0,121.3,0.1,Normal,[],Condition satisfactory.
18.0,7.7,1.7,0.6,26.0,56.0,1.7,0.0,0.2,0.0,2.7,0.1,0.0,0.1,3484.0,9.7,1104.0,110.0,1440.0,1.4,0.0,0.8,0.0,109.0,0.1,Normal,[],Condition satisfactory.
17.0,7.5,1.8,0.6,19.0,59.0,1.6,0.0,0.2,0.0,2.5,0.1,0.1,0.1,3401.0,9.7,1093.0,110.0,1387.0,1.2,0.0,0.8,0.0,109.8,0.1,Normal,[],Condition satisfactory.
18.0,8.2,1.9,0.6,42.0,50.0,2.0,0.3,0.3,0.0,2.4,0.1,0.1,0.1,3512.0,9.6,1135.0,115.0,1447.0,1.6,0.1,0.8,0.0,109.3,0.1,Caution,[],The level of Copper is higher than expected and suggests the presence of wear debris from bearing or bush type material. Visible debris present. Advice : Resample at recommended sampling interval to follow trends.
13.0,10.0,0.8,0.3,10.0,27.0,105.0,0.3,0.8,0.0,0.7,0.0,0.0,0.2,3391.0,9.0,1067.0,100.0,1413.0,0.0,0.9,1.4,0.0,100.7,0.1,Caution,['PB'],Visible debris present. The level of Lead suggests possible wear of a bearing or bush type material. Advice : Resample at the next service intervention.
15.0,8.3,0.9,0.4,10.0,30.0,0.6,0.0,0.3,0.0,1.3,0.0,0.1,0.1,4132.0,10.0,1351.0,135.0,1727.0,1.0,0.0,1.0,0.0,108.6,0.1,Normal,[],Condition satisfactory.
14.0,5.4,0.8,0.3,7.3,17.0,1.8,0.0,0.9,0.0,0.7,0.0,0.0,0.3,3345.0,8.8,1084.0,109.0,1393.0,0.7,0.0,0.7,0.0,109.0,0.1,Normal,[],Condition satisfactory.
14.0,9.7,1.6,0.5,9.3,38.0,4.5,0.0,0.5,0.0,1.2,0.7,0.0,0.2,3599.0,9.7,1187.0,117.0,1501.0,1.2,0.1,1.1,0.0,107.9,0.1,Normal,[],Condition satisfactory.
14.0,9.2,1.1,0.4,8.5,54.0,2.0,0.3,1.9,0.0,2.7,0.1,0.0,0.1,3541.0,11.0,1138.0,111.0,1475.0,0.7,0.0,0.7,0.0,111.9,0.1,Normal,[],Condition satisfactory.
15.0,9.9,1.1,0.5,4.2,58.0,1.4,0.0,2.2,0.0,2.1,0.1,0.1,0.2,3618.0,12.0,1166.0,115.0,1493.0,0.8,0.0,1.1,0.0,107.3,0.1,Normal,[],Condition satisfactory.
14.0,8.4,1.0,0.4,9.0,62.0,2.2,0.4,2.1,0.0,2.6,0.1,0.0,0.1,3373.0,11.0,1088.0,107.0,1399.0,0.6,0.0,1.0,0.0,107.1,0.1,Normal,[],Condition satisfactory.
15.0,8.8,1.5,0.5,5.2,46.0,0.6,0.0,1.6,0.0,2.4,0.1,0.0,0.1,3736.0,13.0,1163.0,121.0,1489.0,0.9,0.1,0.9,0.0,106.4,0.1,Normal,[],Condition satisfactory.
16.0,12.0,2.0,0.6,21.0,60.0,1.1,0.0,1.7,0.0,2.8,0.2,0.1,0.2,3753.0,13.0,1171.0,126.0,1503.0,1.3,0.1,1.1,0.0,112.7,0.1,Normal,[],Condition satisfactory.
15.0,7.8,1.4,0.4,18.0,33.0,0.7,0.7,1.8,0.0,2.2,0.1,0.0,0.1,3660.0,11.0,1124.0,118.0,1486.0,0.9,0.1,1.0,0.0,106.3,0.1,Normal,[],Condition satisfactory.
18.0,15.0,6.1,1.3,17.0,118.0,0.8,0.0,1.0,0.0,2.0,0.6,0.0,0.2,3840.0,15.0,1272.0,125.0,1569.0,0.5,0.4,1.1,0.0,112.5,0.1,Normal,[],Condition satisfactory.
13.0,16.0,6.8,1.7,49.0,221.0,1.1,0.8,1.7,0.0,6.3,0.9,0.1,0.2,3023.0,15.0,1635.0,99.0,1259.0,1.0,0.0,1.0,0.0,122.6,0.1,Normal,[],Condition satisfactory.
11.0,14.0,4.8,1.2,29.0,169.0,0.7,0.5,1.6,0.0,4.6,0.7,0.1,0.2,2741.0,13.0,1456.0,88.0,1139.0,0.6,0.1,0.7,0.0,117.9,0.1,Normal,[],Condition satisfactory.
3.8,3.7,0.7,0.4,16.0,60.0,26.0,1.5,0.4,0.0,1.8,0.2,0.1,1.3,3532.0,22.0,1060.0,87.0,1393.0,0.4,0.1,1.0,0.0,55.7,0.1,Serious,[],Viscosity not consistent with stated grade. Visible debris present; but not considered significant. Wear appears satisfactory. Advise monitor at the recommended sampling period. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
3.7,3.5,0.7,0.4,13.0,56.0,23.0,1.1,0.5,0.0,1.5,0.1,0.1,1.4,3671.0,28.0,1086.0,90.0,1469.0,0.5,0.1,1.0,0.0,56.0,0.1,Serious,[],Viscosity not consistent with stated grade. Wear appears satisfactory. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
11.0,12.0,2.3,0.4,22.0,79.0,0.5,0.7,1.3,0.0,1.1,0.1,0.1,0.1,2602.0,8.5,896.0,84.0,1153.0,0.1,0.1,1.3,0.0,81.0,0.1,Serious,[],Visible debris present. Viscosity not consistent with stated grade / application type. Wear appears satisfactory. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report. 
13.0,14.0,2.1,0.3,7.5,29.0,0.9,0.5,1.2,0.0,1.2,0.2,0.0,0.1,3749.0,9.4,1160.0,121.0,1506.0,0.1,0.1,0.9,0.0,110.3,0.1,Normal,[],Condition satisfactory.
14.0,16.0,3.2,0.4,26.0,65.0,0.5,0.8,1.9,0.0,1.2,0.1,0.0,0.1,3626.0,11.0,1132.0,117.0,1461.0,0.0,0.0,1.8,0.0,107.1,0.1,Normal,[],Condition satisfactory.
10.0,7.8,2.5,0.2,5.6,24.0,0.6,0.7,4.3,0.5,0.9,0.7,0.7,0.0,2796.0,17.0,873.0,84.0,1215.0,0.7,0.2,2.1,0.8,90.7,0.1,Normal,[],Condition satisfactory.
13.0,10.0,1.8,0.1,1.8,8.4,0.3,0.5,5.2,0.5,0.8,0.7,0.7,0.0,3615.0,18.0,1033.0,105.0,1458.0,0.7,0.2,2.1,0.8,112.2,0.1,Normal,[],Condition satisfactory.
6.2,4.3,1.6,0.3,4.0,21.0,0.3,0.6,2.9,0.5,0.9,0.7,0.7,0.0,1329.0,14.0,541.0,44.0,733.0,0.6,0.2,1.3,0.7,63.8,0.1,Serious,[],Visible debris present. Viscosity not consistent with stated grade / application type. Wear appears satisfactory. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
14.0,31.0,4.3,1.2,56.0,120.0,0.0,1.3,1.6,0.0,4.6,1.0,0.3,0.2,3621.0,21.0,1079.0,100.0,1480.0,0.9,1.7,9.2,0.2,111.1,0.1,Normal,[],Condition satisfactory.
14.0,28.0,3.9,1.1,52.0,102.0,0.0,1.4,1.6,0.0,3.9,0.9,0.3,0.2,3431.0,20.0,1031.0,96.0,1400.0,0.9,1.8,8.8,0.3,109.4,0.1,Normal,[],Condition satisfactory.
12.0,19.0,4.2,0.6,50.0,37.0,0.0,0.6,1.1,0.0,1.6,0.6,0.3,0.6,3023.0,16.0,925.0,85.0,1237.0,0.6,1.4,6.3,0.2,112.1,0.1,Normal,[],Condition satisfactory.
11.0,6.7,2.1,0.1,4.0,14.0,0.4,0.5,1.9,0.5,0.8,0.7,0.7,0.0,2407.0,6.6,789.0,70.0,1107.0,0.7,0.2,1.8,0.7,77.9,0.1,Serious,[],Very low viscosity. Wear appears satisfactory. Advice : Resample at recommended sampling interval to follow trends. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
16.0,7.3,3.1,0.2,23.0,49.0,1.1,0.7,2.6,0.5,1.6,0.7,0.7,0.0,3671.0,9.6,1071.0,99.0,1475.0,0.7,0.2,2.6,0.7,111.2,0.1,Normal,[],Condition satisfactory.
16.0,7.3,2.2,0.2,9.7,36.0,1.0,0.6,2.5,0.5,1.0,0.7,0.7,0.0,3481.0,9.3,1018.0,96.0,1415.0,0.7,0.2,2.6,0.7,106.2,0.1,Normal,[],Condition satisfactory.
15.0,11.0,4.2,0.7,22.0,48.0,0.0,0.8,2.1,0.0,1.0,0.5,0.2,0.0,3246.0,12.0,990.0,90.0,1332.0,0.3,1.2,4.7,0.2,106.9,0.1,Normal,[],Condition satisfactory.
14.0,9.5,0.7,0.7,32.0,66.0,0.0,1.9,1.6,0.0,0.9,0.4,0.3,0.2,3202.0,12.0,972.0,89.0,1300.0,0.3,2.3,0.0,0.2,107.2,0.1,Normal,[],Condition satisfactory.
13.0,9.1,3.5,0.7,18.0,40.0,1.0,1.0,1.8,0.0,0.8,0.5,0.2,0.0,2870.0,11.0,915.0,82.0,1225.0,0.4,1.2,4.1,0.2,96.4,0.1,Normal,[],Condition satisfactory.
16.0,9.7,2.1,0.3,5.5,30.0,1.2,0.5,5.0,0.6,1.7,0.7,0.7,0.0,3466.0,11.0,1038.0,92.0,1417.0,1.4,0.2,1.7,0.8,105.0,0.1,Normal,[],Condition satisfactory.
15.0,6.4,1.8,0.4,7.3,25.0,75.0,0.7,4.6,0.7,1.2,0.8,0.9,0.0,3280.0,13.0,969.0,87.0,1341.0,0.8,0.9,2.1,0.9,102.0,0.1,Caution,['PB'],The level of Lead appears high and may indicate that there is some bearing wear. Advice : Resample at recommended sampling interval to follow trends.
15.0,9.4,2.0,0.3,12.0,24.0,1.2,0.7,4.6,0.5,1.6,0.7,0.7,0.0,3423.0,11.0,974.0,94.0,1378.0,1.5,0.1,1.7,0.7,105.1,0.1,Normal,[],Condition satisfactory.
16.0,9.6,2.3,0.3,6.5,27.0,1.7,0.6,4.9,0.5,1.5,0.7,0.7,0.0,3429.0,12.0,1009.0,97.0,1381.0,1.5,0.1,2.0,0.7,105.1,0.1,Normal,[],Condition satisfactory.
12.0,9.0,3.6,0.5,12.0,53.0,2.3,0.5,4.9,0.5,2.7,0.7,0.7,0.0,2579.0,7.2,1227.0,76.0,1064.0,1.4,0.2,1.7,0.7,125.8,0.1,Serious,[],The analysis indicates the wear rates appear to be at a satisfactory level however visual metallic/metallic-like debris is present. Recommend re-sampling at the next service schedule.
12.0,9.1,2.7,0.4,10.0,38.0,1.8,0.4,4.9,0.5,2.6,0.7,0.7,0.0,2525.0,7.0,1307.0,75.0,1047.0,1.5,0.2,1.6,0.7,128.2,0.1,Normal,[],Condition satisfactory.
13.0,12.0,1.7,0.3,8.1,33.0,2.9,0.5,4.6,0.5,1.9,0.7,0.7,0.0,2540.0,7.0,1198.0,75.0,1060.0,1.1,0.3,1.8,0.7,125.6,0.1,Normal,[],Condition satisfactory.
12.0,17.0,2.1,0.2,21.0,31.0,0.0,1.6,0.6,0.0,0.9,0.0,0.0,0.0,3603.0,11.0,1034.0,97.0,1418.0,0.0,1.2,1.8,0.0,111.8,0.1,Normal,[],Condition satisfactory.
15.0,25.0,0.7,0.3,13.0,17.0,0.0,1.6,0.0,0.0,0.8,0.0,0.0,1.7,3552.0,12.0,1048.0,96.0,1454.0,0.1,12.0,2.7,0.0,112.2,0.1,Normal,['LI'],Condition satisfactory.
8.6,34.0,2.5,0.5,22.0,49.0,0.0,1.8,0.3,0.0,3.2,0.8,0.0,0.0,3537.0,11.0,1049.0,97.0,1389.0,0.5,0.6,1.5,0.0,113.6,0.1,Normal,[],Condition satisfactory.
9.7,37.0,2.6,0.3,45.0,38.0,0.0,2.4,0.0,0.0,1.7,0.2,0.0,0.0,3300.0,8.2,1026.0,97.0,1359.0,0.4,0.6,1.9,0.0,110.7,0.1,Caution,[],Visible debris present. The level of Copper is higher than expected and suggests the presence of wear debris from bearing or bush type material. Advice : Resample at the next service intervention.
7.8,15.0,3.6,0.9,45.0,198.0,0.0,2.4,1.1,0.0,2.0,0.1,0.0,0.1,2518.0,9.6,870.0,70.0,1137.0,0.2,0.6,2.2,0.0,90.1,0.1,Serious,[],Visible debris present (metal / metal-like particles). The level of Copper suggests wear of bearing; bush or bearing cage type material. Advice : Change oil if not changed when sampled. Check unit for abnormal noise and heat and feedback findings before next sample.
8.1,15.0,3.3,0.9,45.0,189.0,0.0,2.7,1.1,0.0,1.9,0.0,0.0,0.1,2573.0,9.7,876.0,71.0,1140.0,0.2,0.6,2.3,0.0,85.7,0.1,Serious,[],Viscosity not consistent with stated grade. Visible debris present. The level of Copper suggests wear of bearing; bush or bearing cage type material. Advice : Resample at recommended sampling interval to follow trends. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
4.5,7.8,2.9,0.5,15.0,64.0,0.0,1.7,0.6,0.0,0.7,0.0,0.0,0.0,1463.0,5.8,600.0,41.0,802.0,0.0,0.6,1.4,0.0,64.4,0.1,Serious,[],Viscosity not consistent with stated grade. Visible debris present but wear appears satisfactory. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report. 
11.0,8.4,2.2,0.4,29.0,183.0,2.8,0.0,1.9,0.0,1.5,0.0,0.0,0.2,3459.0,11.0,1138.0,114.0,1450.0,0.1,0.1,1.5,0.0,107.0,0.1,Normal,[],Condition satisfactory.
12.0,13.0,4.8,0.4,74.0,278.0,4.1,0.0,1.0,0.0,2.4,0.1,0.0,0.4,3378.0,11.0,1098.0,106.0,1378.0,0.2,0.0,1.7,0.0,102.2,0.1,Normal,[],Condition satisfactory.
11.0,17.0,4.3,0.5,3.5,58.0,1.5,0.0,0.9,0.0,1.1,0.1,0.0,0.2,3557.0,13.0,1124.0,115.0,1446.0,0.6,0.0,1.6,0.0,109.3,0.1,Serious,[],Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
16.0,9.5,1.3,0.3,3.4,58.0,1.4,0.0,1.8,0.0,2.2,0.0,0.0,0.2,3845.0,11.0,1261.0,131.0,1513.0,0.6,0.0,0.9,0.0,112.6,0.1,Normal,[],Condition satisfactory.
15.0,8.8,1.1,0.2,8.6,27.0,1.6,0.0,1.5,0.0,1.0,0.0,0.0,0.3,3784.0,11.0,1179.0,121.0,1533.0,0.4,0.0,1.2,0.0,114.2,0.1,Normal,[],Condition satisfactory.
10.0,8.1,2.0,0.6,120.0,213.0,4.6,1.0,1.9,0.0,2.0,0.1,0.0,0.6,3291.0,11.0,1049.0,111.0,1339.0,0.6,0.1,2.2,0.1,104.0,0.1,Normal,[],Condition satisfactory.
9.9,22.0,7.2,1.6,662.0,478.0,15.0,5.6,1.5,0.0,5.6,0.3,0.1,2.3,2809.0,11.0,1132.0,105.0,1169.0,1.3,0.1,4.2,0.1,110.3,0.1,Serious,"['CU', 'SN']",Visible debris present (metal / metal-like particles). The level of Copper suggests wear of bearing; bush or bearing cage type material. Advice : Change oil if not changed when sampled. Check for abnormal noise / heat & feedback findings. Sample secondary sampling points (if applicable) to pinpoint fault. Confirm any recent maintenance that has been performed on this sample compartment. If it does not involve a costly stopping of production and is relatively simple to perform; a visual inspection of the compartment may also be of benefit.
12.0,8.5,1.0,0.3,11.0,41.0,1.6,0.0,2.2,0.0,0.6,0.0,0.1,0.2,3380.0,13.0,1067.0,118.0,1353.0,0.2,0.1,1.6,0.0,107.7,0.1,Serious,[],Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
11.0,9.0,3.2,1.1,64.0,384.0,3.0,1.4,0.5,0.0,3.2,0.1,0.1,0.3,3442.0,10.0,1093.0,105.0,1398.0,0.4,0.1,0.9,0.1,107.9,0.1,Normal,[],Condition satisfactory.
8.4,24.0,13.0,1.3,110.0,464.0,4.3,4.0,0.2,0.0,4.0,0.2,0.1,0.3,3432.0,8.8,1072.0,97.0,1373.0,0.8,0.1,3.4,0.2,109.4,0.1,Normal,[],Condition satisfactory.
15.0,19.0,5.6,0.7,18.0,156.0,2.7,0.0,0.7,0.0,1.5,0.3,0.1,0.2,4323.0,14.0,1407.0,153.0,1669.0,0.6,0.0,2.1,0.2,107.1,0.1,Normal,[],Condition satisfactory.
23.0,12.0,1.6,0.7,8.5,54.0,3.7,0.0,1.5,0.0,1.6,0.2,0.1,0.3,3743.0,12.0,1162.0,128.0,1437.0,0.7,0.1,1.4,0.0,112.8,0.1,Normal,[],Condition satisfactory.
13.0,6.4,1.7,0.5,23.0,237.0,1.4,0.0,1.7,0.0,1.9,0.0,0.1,0.2,3917.0,12.0,1255.0,125.0,1597.0,0.3,0.1,1.4,0.0,101.4,0.1,Serious,[],Visible debris present (metal / metal-like particles). Advice : Possible sampling problem; advise resample to confirm.
12.0,6.0,1.6,0.5,20.0,231.0,1.2,0.0,1.4,0.0,1.6,0.0,0.0,0.3,3569.0,10.0,1166.0,115.0,1437.0,0.2,0.0,1.5,0.0,102.7,0.1,Serious,[],Visible debris present (metal / metal-like particles). Advice : Possible sampling problem; advise resample to confirm.
7.4,3.4,0.9,0.6,361.0,55.0,10.0,12.0,0.9,0.0,0.8,0.0,0.0,0.3,2603.0,6.9,908.0,122.0,1003.0,0.2,0.5,1.5,0.0,75.3,0.1,Serious,"['CU', 'SN']",Viscosity not consistent with stated grade. Visible debris present. The levels of Copper and Tin suggest possible wear of a bearing or bush type material. Advice : Change oil if not changed when sampled. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
12.0,13.0,4.6,2.0,18.0,195.0,3.5,0.4,1.6,0.0,39.0,0.2,0.0,0.5,2382.0,8.5,1501.0,79.0,985.0,3.7,0.1,0.8,0.0,133.1,0.1,Serious,['MN'],Viscosity not consistent with stated grade. Visible debris present; but not considered significant. Wear appears satisfactory. Advise monitor at the recommended sampling period. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
12.0,13.0,5.0,2.1,18.0,198.0,5.7,1.0,2.0,0.0,39.0,0.2,0.1,0.5,2341.0,9.0,1473.0,82.0,942.0,3.6,0.2,1.1,0.0,132.4,0.1,Serious,['MN'],Viscosity not consistent with stated grade. Visible debris present (metal / metal-like particles). Advice : Possible sampling problem; advise resample to confirm. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
11.0,11.0,4.1,1.6,15.0,168.0,2.4,0.9,2.0,0.0,14.0,0.5,0.1,0.3,2467.0,9.0,1409.0,85.0,1001.0,2.7,0.1,1.3,0.0,132.0,0.1,Serious,[],Visible debris present. High viscosity noted. Wear appears satisfactory. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
11.0,9.0,2.5,0.6,121.0,370.0,2.2,2.5,0.3,0.0,5.0,0.0,0.1,0.2,3463.0,9.9,1149.0,104.0,1386.0,1.1,0.0,1.2,0.1,109.2,0.1,Serious,[],Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
2.2,9.3,3.6,2.3,245.0,192.0,5.3,4.6,1.1,0.0,2.5,0.3,0.0,0.4,328.0,13.0,345.0,9.6,254.0,1.2,0.0,1.1,0.0,87.8,0.1,Serious,"['CU', 'SN', 'P']",Visible debris present. The level of Copper suggests wear of bearing; bush or bearing cage type material. Advice : Change oil if not changed when sampled.   
2.2,9.6,3.8,2.4,243.0,197.0,5.2,4.9,1.2,0.0,2.5,0.4,0.0,0.3,336.0,13.0,351.0,9.6,259.0,1.5,0.0,1.0,0.0,87.7,0.1,Serious,"['CU', 'SN', 'P']",Visible debris present. The level of Copper suggests wear of bearing; bush or bearing cage type material. Advice : Change oil if not changed when sampled.   
2.2,9.5,3.8,2.4,239.0,206.0,5.2,4.7,1.0,0.0,2.5,0.4,0.0,0.4,348.0,13.0,355.0,10.0,257.0,1.5,0.0,1.1,0.0,87.6,0.1,Serious,"['CU', 'SN', 'P']",Visible debris present. The level of Copper suggests wear of bearing; bush or bearing cage type material. Advice : Change oil if not changed when sampled.   
14.0,13.0,3.6,0.5,4.0,45.0,1.7,0.0,1.3,0.0,6.4,0.2,0.0,0.2,3466.0,15.0,1275.0,112.0,1405.0,1.2,0.1,1.6,0.0,117.9,0.1,Normal,[],Condition satisfactory.
13.0,10.0,2.4,0.6,6.0,51.0,1.7,0.0,1.4,0.0,3.7,0.1,0.0,0.1,3245.0,14.0,1243.0,107.0,1307.0,1.1,0.1,1.3,0.0,117.6,0.1,Normal,[],Condition satisfactory.
13.0,9.6,1.5,0.5,3.1,48.0,1.7,0.0,1.1,0.0,6.5,0.1,0.0,0.0,3493.0,14.0,1284.0,112.0,1438.0,1.4,0.0,1.0,0.0,117.5,0.1,Normal,[],Condition satisfactory.
9.2,9.1,1.9,1.8,127.0,219.0,4.9,3.1,5.2,0.0,3.4,1.2,0.9,0.1,3304.0,10.0,1074.0,88.0,1345.0,2.6,1.5,1.7,1.7,105.7,0.1,Normal,['CD'],Condition satisfactory.
