NA,SI,AL,CR,CU,FE,PB,SN,MO,AG,MN,TI,V,BA,CA,MG,P,B,ZN,NI,LI,K,CD,KV40,Water,Status,Interpretation
0.0,26.0,4.4,1.6,47.0,158.0,0.0,2.6,0.8,1.4,3.7,1.6,0.0,0.0,0.0,0.0,2000.0,5.6,21.0,1.7,2.5,2.2,0.0,180.8,0.1,Normal,Condition satisfactory.
8.2,17.0,2.9,0.8,0.0,29.0,0.0,0.6,0.8,1.4,0.7,1.2,0.0,0.0,183.0,0.0,504.0,208.0,0.0,0.9,2.4,2.4,0.0,36.0,0.1,Caution,Viscosity not consistent with stated grade but consistent with previous sample. Visible debris present but wear appears satisfactory. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
12.0,14.0,4.1,1.5,43.0,131.0,0.0,2.5,2.0,1.4,4.6,1.6,0.0,0.0,2653.0,7.8,1278.0,76.0,1067.0,1.1,2.4,2.2,0.0,121.2,0.1,Normal,Condition satisfactory.
12.0,14.0,4.4,1.5,50.0,133.0,0.0,2.3,2.1,1.4,4.6,1.4,0.0,0.0,2773.0,7.7,1370.0,77.0,1104.0,1.1,2.4,2.1,0.0,122.3,0.1,Normal,Condition satisfactory.
0.0,5.2,1.4,0.8,0.0,0.0,0.0,0.8,0.7,1.4,0.6,1.0,0.0,0.0,93.0,0.0,341.0,9.0,456.0,0.5,2.4,1.6,0.0,42.3,0.1,Normal,Condition satisfactory.
14.0,8.1,5.5,1.5,37.0,18.0,0.0,1.7,2.2,1.4,4.5,1.5,0.0,0.0,3472.0,8.3,1377.0,96.0,1414.0,1.1,4.6,2.1,0.0,121.1,0.1,Normal,Condition satisfactory.
8.0,7.4,1.9,0.5,0.0,0.0,0.0,0.4,0.7,1.4,0.6,1.0,0.0,0.0,1012.0,0.0,536.0,125.0,419.0,0.6,2.3,3.9,0.0,35.1,0.1,Caution,Viscosity not consistent with stated grade but consistent with previous sample. Wear appears satisfactory. Advice : Resample at recommended sampling interval to follow trends. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
12.0,7.0,14.0,0.8,8.2,65.0,31.0,3.2,1.3,1.4,2.1,1.1,0.0,0.0,177.0,0.0,474.0,169.0,13.0,1.1,3.3,3.3,0.0,35.4,0.1,Caution,Visible debris present. The levels of Lead suggest possible wear of a bearing; bush or clutch type material. Advice : Resample at the next service intervention. 
13.0,14.0,4.2,1.5,8.0,71.0,0.0,0.0,1.7,1.4,9.4,1.5,0.0,0.0,3675.0,12.0,1149.0,98.0,1496.0,2.8,2.5,2.7,0.0,111.1,0.1,Normal,Condition satisfactory.
5.0,8.7,1.0,0.6,0.0,14.0,142.0,0.8,1.0,1.4,1.0,1.0,0.0,0.0,3593.0,0.0,1142.0,98.0,1460.0,0.6,4.8,3.2,0.0,108.2,0.1,Caution,Lead suggests possible bearing material wear. Advice : Resample at recommended sampling interval to follow trends.
7.1,5.3,3.5,0.6,0.0,22.0,0.0,0.6,0.7,1.4,0.7,1.0,0.0,0.0,127.0,0.0,282.0,93.0,104.0,0.7,2.5,3.0,0.0,29.4,0.1,Caution,Viscosity not consistent with stated grade but consistent with previous sample. Wear appears satisfactory. Advice : Resample at recommended sampling interval to follow trends. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
5.3,13.0,3.9,1.3,65.0,171.0,0.0,1.6,0.9,0.8,5.8,1.4,0.7,0.1,71.0,3.4,2000.0,12.0,50.0,1.2,1.8,2.1,0.0,189.7,0.1,Serious,Visible debris present. The level of Copper suggests wear of bearing; bush or bearing cage type material. Advice : Change oil if not changed when sampled.
5.1,14.0,5.3,0.7,17.0,69.0,0.5,0.7,1.3,1.5,1.8,1.0,0.7,0.0,1239.0,7.7,578.0,38.0,778.0,0.3,0.2,2.4,0.4,55.8,0.1,Caution,Viscosity not consistent with stated grade / application type. Wear appears satisfactory. Advice : Resample at recommended sampling interval to follow trends. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
13.0,34.0,11.0,1.1,55.0,142.0,1.2,1.8,1.7,1.5,3.0,1.2,0.7,0.0,3515.0,13.0,1080.0,97.0,1435.0,0.5,0.2,4.3,0.4,107.7,0.1,Normal,Condition satisfactory.
12.0,25.0,9.5,1.2,34.0,115.0,1.1,1.1,1.7,1.5,2.5,1.1,0.7,0.0,3023.0,12.0,943.0,85.0,1293.0,0.4,0.2,3.6,0.4,90.5,0.1,Normal,Condition satisfactory.
15.0,13.0,3.3,1.1,7.8,82.0,0.4,0.1,3.7,1.5,1.7,0.9,0.7,0.0,3670.0,14.0,1063.0,100.0,1450.0,0.3,1.5,2.9,0.3,107.9,0.1,Normal,Condition satisfactory.
14.0,6.5,2.0,0.4,9.2,31.0,77.0,0.0,1.1,1.5,1.4,0.8,0.7,0.0,3375.0,7.6,1010.0,91.0,1384.0,0.2,0.9,2.6,0.3,106.5,0.1,Caution,Lead suggests possible bearing material wear. Advice : Resample at recommended sampling interval to follow trends.
6.5,6.9,2.2,0.2,0.4,88.0,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1075.0,3.5,563.0,144.0,449.0,0.2,0.2,1.5,0.0,34.4,0.1,Serious,The level of Iron is higher than expected and suggests wear of gear or shaft type material. Advice : Change oil if not changed when sampled.    
19.0,19.0,17.0,0.8,81.0,160.0,1.3,1.5,3.8,1.5,4.0,1.1,0.7,0.0,3483.0,21.0,1082.0,96.0,1432.0,0.4,0.6,19.0,0.3,98.0,0.1,Normal,Condition satisfactory.
19.0,20.0,10.0,0.6,44.0,90.0,1.2,0.9,3.5,1.5,2.3,1.1,0.7,0.0,3468.0,17.0,1051.0,96.0,1393.0,0.4,0.4,17.0,0.4,102.7,0.1,Normal,Condition satisfactory.
19.0,9.8,2.6,0.9,76.0,102.0,1.0,3.4,1.1,1.5,2.6,0.9,0.7,1.5,3588.0,11.0,1083.0,97.0,1473.0,0.3,8.9,3.5,0.5,107.1,0.1,Normal,Condition satisfactory.
18.0,14.0,7.3,0.5,52.0,93.0,1.3,0.9,3.7,1.5,2.3,1.0,0.7,0.0,3414.0,19.0,1043.0,95.0,1387.0,0.3,0.6,15.0,0.3,101.1,0.1,Normal,Condition satisfactory.
12.0,12.0,5.6,0.7,22.0,117.0,0.6,0.7,2.8,1.5,2.3,0.9,0.7,0.0,3322.0,13.0,998.0,92.0,1358.0,0.3,0.2,2.5,0.3,102.6,0.1,Normal,Condition satisfactory.
4.0,4.4,2.7,0.5,25.0,97.0,1.4,1.5,2.5,1.5,1.7,0.9,0.7,0.0,748.0,22.0,430.0,22.0,528.0,0.3,0.2,1.8,0.3,50.0,0.1,Normal,Condition satisfactory. 
4.1,4.4,2.5,0.3,15.0,71.0,1.3,1.0,2.6,1.5,1.4,0.9,0.7,0.0,788.0,23.0,428.0,23.0,534.0,0.2,0.2,1.9,0.3,50.8,0.1,Normal,Condition satisfactory. 
3760.0,8.1,20.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.7,0.1,4.7,0.0,0.0,0.0,0.0,743.0,0.0,,,Caution,Reserve Alkalinity low; possibly owing to depletion of corrosion inhibitor additives. Advice : Resample at the next service intervention. 
2.9,6.2,4.6,1.0,36.0,25.0,1.1,4.0,49.0,0.1,2.4,0.1,0.9,0.2,1383.0,976.0,711.0,101.0,917.0,0.8,0.1,2.4,0.0,85.8,0.1,Caution,Copper present; but not significant and possibly normal leaching from copper based components or copper oil cooler if used. Advice : Resample at recommended sampling interval to follow trends.
8.8,8.4,2.6,0.1,1.6,8.1,6.3,0.1,2.7,1.5,0.9,0.8,0.7,0.0,982.0,9.3,527.0,127.0,429.0,0.1,0.2,6.8,0.3,34.3,0.1,Caution,Viscosity not consistent with stated grade / application type. Wear appears satisfactory. Advice : Resample at recommended sampling interval to follow trends. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
4154.0,8.2,1.9,0.0,0.0,1.6,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.6,2.6,6.1,0.0,0.0,0.0,0.0,844.0,0.0,,,Caution,Visible debris present; but not considered significant. Reserve Alkalinity low; possibly owing to depletion of corrosion inhibitor additives. Glycol content indicates sufficient freeze and corrosion protection. Advise monitor at the recommended sampling period.
4212.0,15.0,3.2,0.0,0.0,40.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,5.5,18.0,8.6,64.0,5.2,0.0,0.0,342.0,0.0,,,Serious,Visible debris present. Reserve Alkalinity low; possibly owing to depletion of corrosion inhibitor additives. Sulphate content high suggesting either poor water quality; contamination with cleaning agent or gas leak into cooling system. Too low pH might lead to corrosion of iron-containing components. Possible sources for abnormal iron presence are; liners; water pump; cylinder block; cylinder head. Advise drain system and refill with recommended mixture. 
15.0,6.9,1.9,0.3,7.5,28.0,1.0,0.0,4.8,0.0,1.1,0.1,0.1,0.3,3438.0,16.0,1191.0,127.0,1387.0,1.1,0.0,1.0,0.0,97.9,0.1,Serious,Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
15.0,8.3,2.1,0.4,55.0,50.0,1.8,0.0,4.4,0.0,1.7,0.1,0.0,0.2,3645.0,16.0,1202.0,128.0,1477.0,1.4,0.0,1.2,0.0,100.4,0.1,Serious,Visible debris present (metal / metal-like particles). The level of Copper suggests wear of bearing; bush or bearing cage type material. Advice : Change oil if not changed when sampled.
16.0,9.2,1.6,0.5,24.0,51.0,1.8,0.0,4.4,0.0,1.6,0.1,0.1,0.2,3652.0,15.0,1208.0,123.0,1518.0,1.2,0.0,1.0,0.0,98.7,0.1,Serious,Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
12.0,10.0,2.7,0.3,4.0,29.0,117.0,0.2,4.1,0.0,0.5,0.1,0.0,0.4,3415.0,13.0,1143.0,117.0,1362.0,0.4,0.7,1.7,0.0,96.3,0.1,Serious,Visible debris present (metal / metal-like particles). The level of Lead appears high and may indicate that there is some bearing wear. Advice : Change oil if not changed when sampled. Check unit for abnormal noise and heat and feedback findings before next sample.
6.6,12.0,4.8,0.3,3.8,202.0,1.2,0.0,0.0,0.0,1.5,0.1,0.1,0.3,1942.0,5.5,834.0,121.0,827.0,0.8,0.0,1.5,0.0,32.8,0.1,Caution,Low viscosity noted. Visible debris present. Since no abnormal wear; contamination may have occured at sampling. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
9.4,5.5,7.4,0.4,10.0,76.0,10.0,0.3,0.9,0.0,2.4,0.1,0.0,1.5,148.0,1.3,442.0,193.0,8.4,0.7,0.4,6.3,0.0,34.0,0.1,Caution,Visible debris present. The level of Iron is higher than expected and suggests wear of gear or shaft type material. Advice : Resample at the next service intervention.
16.0,6.3,1.3,0.3,34.0,32.0,0.0,0.0,0.9,0.0,0.8,0.0,0.1,0.4,3639.0,12.0,1116.0,114.0,1484.0,0.5,1.4,0.8,0.0,108.6,0.1,Serious,Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
10.0,10.0,2.0,0.2,0.6,29.0,7.0,0.1,0.0,0.0,0.3,0.0,0.0,0.3,1220.0,6.7,609.0,150.0,519.0,0.4,0.0,3.9,0.0,35.2,0.1,Normal,Condition satisfactory.
13.0,6.6,1.5,0.3,19.0,39.0,0.0,0.2,0.8,0.0,1.5,0.1,0.0,0.1,3104.0,10.0,1338.0,94.0,1308.0,0.4,0.0,0.7,0.0,116.4,0.1,Serious,Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
13.0,6.4,1.6,0.4,26.0,40.0,0.2,0.0,0.8,0.0,1.5,0.1,0.0,0.3,2993.0,9.5,1320.0,93.0,1258.0,0.5,0.0,0.8,0.0,119.6,0.1,Serious,Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
13.0,6.7,1.8,0.4,21.0,54.0,0.0,1.2,0.9,0.0,1.7,0.2,0.0,0.2,2971.0,9.7,1308.0,96.0,1236.0,0.5,0.0,0.6,0.0,119.3,0.1,Serious,Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
15.0,8.6,1.6,0.6,58.0,59.0,2.5,0.0,0.1,0.0,2.7,0.1,0.0,0.3,3288.0,9.6,1093.0,107.0,1367.0,1.8,0.0,1.1,0.0,110.4,0.1,Serious,Visible debris present (metal / metal-like particles). The level of Copper suggests wear of bearing; bush or bearing cage type material. Advice : Change oil if not changed when sampled. Check unit for abnormal noise and heat and feedback findings before next sample.
13.0,5.2,1.3,0.3,18.0,25.0,84.0,0.0,0.0,0.0,0.7,0.0,0.0,0.2,3227.0,8.2,1040.0,99.0,1363.0,0.6,0.4,1.3,0.0,106.1,0.1,Caution,Visible debris present. The level of Lead suggests possible wear of a bearing or bush type material. Advice : Resample at the next service intervention.
17.0,7.4,1.9,0.5,46.0,46.0,3.2,0.0,0.2,0.0,2.3,0.1,0.1,0.3,3375.0,9.1,1091.0,110.0,1401.0,1.9,0.0,1.2,0.0,34.3,0.1,Caution,Visible debris present. Sodium suggests possible environmental contamination or contamination with a sodium based product. The level of Copper suggests wear of bearing; bush or bearing cage type material. Advice : Resample at recommended sampling interval to follow trends.
13.0,6.1,9.7,0.2,3.7,48.0,2.2,1.4,0.3,0.0,0.7,0.1,0.0,0.8,219.0,2.5,522.0,231.0,26.0,0.0,0.1,2.6,0.0,33.8,0.1,Normal,Condition satisfactory.
15.0,17.0,5.9,0.6,72.0,122.0,7.0,0.0,7.3,0.0,1.5,0.2,0.1,0.6,3296.0,11.0,1065.0,112.0,1386.0,0.0,0.2,14.0,0.1,95.9,0.1,Serious,Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
16.0,17.0,4.3,0.5,82.0,85.0,9.5,0.0,8.2,0.0,1.1,0.2,0.1,0.5,3713.0,10.0,1167.0,127.0,1553.0,0.0,0.3,19.0,0.1,103.7,0.1,Serious,Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
15.0,17.0,5.5,0.6,66.0,119.0,7.9,0.4,7.2,0.0,1.5,0.2,0.1,0.5,3325.0,11.0,1069.0,109.0,1416.0,0.0,0.2,14.0,0.1,95.7,0.1,Serious,Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
5.9,4.5,1.7,0.3,11.0,4.4,1.4,1.7,1.4,0.0,0.1,0.2,0.1,0.4,160.0,22.0,346.0,3.2,392.0,0.0,0.1,1.5,0.0,45.0,0.1,Normal,Condition satisfactory.
13.0,5.7,2.3,1.7,122.0,186.0,2.8,8.4,0.7,0.0,1.3,0.0,0.0,0.3,213.0,2.7,519.0,236.0,27.0,0.0,0.8,1.5,0.0,33.3,0.1,Caution,Visible debris present. There is evidence of tin present; possibly from bearing/bush wear. Advice : Resample at recommended sampling interval to follow trends.
13.0,6.6,12.0,0.2,4.2,53.0,2.7,2.0,0.1,0.0,0.7,0.1,0.0,1.2,203.0,1.9,507.0,232.0,14.0,0.0,0.1,3.3,0.0,34.7,0.1,Normal,Condition satisfactory.
17.0,6.8,3.0,0.3,7.7,46.0,1.0,0.0,3.1,0.0,0.7,0.1,0.1,0.9,3530.0,11.0,1127.0,115.0,1436.0,0.0,0.1,2.0,0.0,108.7,0.1,Normal,Condition satisfactory.
13.0,14.0,1.5,0.4,8.1,45.0,0.6,0.1,3.1,0.0,1.3,0.2,0.1,0.5,3716.0,10.0,1158.0,118.0,1535.0,0.0,0.0,2.6,0.1,113.1,0.1,Serious,Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
6.3,2.9,1.0,0.6,2.6,8.8,0.5,0.0,0.2,0.0,0.3,0.1,0.0,0.4,82.0,2.2,325.0,0.7,478.0,0.0,0.0,1.1,0.0,59.5,0.1,Normal,Wear appears satisfactory. No significant contamination. Advise monitor at the recommended sampling period.
11.0,14.0,2.5,0.5,13.0,41.0,0.6,1.6,0.5,0.0,0.3,0.1,0.0,0.5,205.0,2.9,521.0,245.0,15.0,0.0,0.4,1.3,0.0,35.1,0.1,Serious,Low viscosity noted. Appearance is Serious. Advice : Change oil if not changed when sampled.
15.0,13.0,5.7,0.5,14.0,88.0,1.1,0.0,2.6,0.0,1.1,0.3,0.0,0.4,3190.0,9.9,1062.0,99.0,1382.0,0.0,0.0,3.0,0.0,96.7,0.1,Normal,Condition satisfactory.
15.0,9.9,4.4,0.5,19.0,77.0,1.0,0.0,5.8,0.0,1.4,0.1,0.1,0.4,3544.0,24.0,1112.0,119.0,1467.0,0.0,0.1,2.4,0.0,107.4,0.1,Normal,Condition satisfactory.
14.0,12.0,3.7,0.5,20.0,84.0,1.8,0.4,6.0,0.0,1.4,0.2,0.1,0.4,3660.0,33.0,1138.0,116.0,1538.0,0.0,0.1,2.5,0.0,109.4,0.1,Normal,Condition satisfactory.
14.0,10.0,3.6,0.4,13.0,74.0,1.1,0.0,5.1,0.0,1.3,0.1,0.1,0.6,3518.0,23.0,1116.0,122.0,1427.0,0.0,0.1,2.4,0.0,110.5,0.1,Normal,Condition satisfactory.
7.4,4.9,1.1,0.1,6.7,16.0,1.5,0.0,0.0,0.0,0.3,0.0,0.1,0.4,3541.0,7.4,1126.0,101.0,1609.0,0.0,20.0,2.0,0.0,58.6,0.1,Caution,Low viscosity noted. Visible debris present. Since no abnormal wear; contamination may have occured at sampling. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
14.0,8.4,16.0,0.7,7.1,91.0,6.7,1.8,0.6,0.0,1.3,0.1,0.0,1.2,220.0,3.1,521.0,227.0,36.0,0.0,0.3,2.7,0.0,34.2,0.1,Caution,Visible debris present. The level of Iron is higher than expected and suggests wear of gear or shaft type material. Advice : Resample at the next service intervention.
8.7,21.0,9.5,1.5,59.0,250.0,3.1,0.8,0.9,0.0,3.6,0.3,0.1,0.6,3237.0,8.9,1034.0,99.0,1356.0,0.3,0.1,2.7,0.1,102.5,0.1,Normal,Condition satisfactory.
8.6,20.0,5.7,1.2,67.0,228.0,3.7,0.0,0.7,0.0,3.5,0.3,0.1,0.4,3103.0,8.3,1008.0,95.0,1308.0,0.1,0.1,2.2,0.1,94.1,0.1,Normal,Condition satisfactory.
5.8,9.3,2.2,0.3,23.0,12.0,3.6,2.0,0.9,0.0,0.1,0.1,0.0,0.3,121.0,10.0,317.0,4.5,426.0,0.0,0.0,1.2,0.0,43.7,0.1,Serious,Copper present; but not significant and possibly normal leaching from copper based components or copper oil cooler if used. Visible debris present. ISO cleanliness code suggests fluid should be cleaned/filtered. If cleaning not feasible then consider fluid change. If cleanliness not improved on next sample consider checking filtration system if fitted.
18.0,12.0,2.1,0.3,8.3,18.0,1.0,0.0,1.7,0.0,0.5,0.2,0.1,1.3,3849.0,12.0,1148.0,117.0,1594.0,0.0,4.7,2.1,0.1,115.3,0.1,Normal,Condition satisfactory.
9.5,20.0,6.4,1.2,69.0,234.0,3.4,0.8,0.6,0.0,3.5,0.3,0.1,0.5,3098.0,8.5,998.0,97.0,1295.0,0.3,0.1,2.1,0.1,95.2,0.1,Normal,Condition satisfactory.
0.9,5.2,4.8,0.5,52.0,11.0,0.4,1.5,50.0,1.5,1.0,0.8,0.7,0.0,1403.0,830.0,612.0,66.0,887.0,0.3,0.1,2.1,0.4,88.4,0.1,Serious,Wear appears satisfactory. Copper level evident; but not significant and possibly indicates acceptable leeching from copper based components or copper oil cooler if fitted. Advice : Resample at the next service intervention.
20.0,14.0,6.3,0.5,40.0,52.0,1.3,0.0,3.8,0.0,2.5,0.3,0.1,0.3,4204.0,24.0,1346.0,137.0,1726.0,0.0,0.1,2.5,0.0,106.4,0.1,Serious,Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
19.0,11.0,4.7,0.5,35.0,46.0,1.7,0.2,3.8,0.0,2.2,0.2,0.1,0.3,3751.0,21.0,1214.0,119.0,1537.0,0.0,0.1,1.9,0.0,106.4,0.1,Serious,Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
18.0,13.0,2.6,0.7,37.0,51.0,1.2,0.0,3.4,0.1,1.4,0.2,0.1,0.9,3720.0,20.0,1115.0,119.0,1453.0,0.0,1.6,2.9,0.2,104.6,0.1,Normal,Condition satisfactory.
18.0,12.0,5.3,0.5,57.0,60.0,2.5,0.1,3.7,0.0,2.1,0.3,0.1,0.5,3634.0,21.0,1154.0,118.0,1492.0,0.0,0.4,1.9,0.0,104.4,0.1,Normal,Condition satisfactory.
10.0,8.0,3.6,0.1,3.4,16.0,7.4,0.0,0.3,0.0,0.2,0.1,0.0,0.3,769.0,2.7,491.0,134.0,320.0,0.0,0.1,4.4,0.0,34.6,0.1,Caution,Low viscosity noted. Visible debris present. Since no abnormal wear; contamination may have occured at sampling. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
1.1,5.2,3.7,0.5,18.0,11.0,0.4,1.3,53.0,1.4,1.0,0.8,0.7,0.0,1512.0,829.0,644.0,52.0,942.0,0.5,0.1,4.3,0.4,86.7,0.1,Normal,Condition satisfactory.
9.2,7.7,20.0,0.3,13.0,116.0,41.0,2.8,0.1,0.0,1.3,0.0,0.1,0.5,192.0,1.8,477.0,221.0,19.0,0.4,0.1,1.6,0.0,34.0,0.1,Serious,Visible debris present. The level of aluminium suggests possible wear of casing/torque convertor. The level of Lead appears high and may indicate that there is some bearing wear. The level of Iron is higher than expected and suggests wear of gear or shaft type material. Advice : Change oil if not changed when sampled.
0.0,5.6,2.6,2.9,3.1,10.0,0.0,0.6,0.1,0.0,0.1,0.1,0.0,0.3,108.0,1.6,341.0,5.1,449.0,0.3,0.0,0.7,0.0,41.0,0.1,Normal,Condition satisfactory.
12.0,8.0,1.9,0.6,1.7,217.0,2.4,0.0,1.3,0.4,2.0,0.4,0.4,0.8,2163.0,5.8,832.0,143.0,864.0,0.0,0.4,2.6,0.4,34.1,0.1,Caution,Low viscosity noted. Visible debris present. Since no abnormal wear; contamination may have occured at sampling. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
6.3,5.0,0.5,0.7,1.6,8.4,0.0,0.3,0.2,0.0,0.2,0.0,0.0,0.5,90.0,2.1,333.0,5.3,462.0,0.0,0.1,1.3,0.0,40.7,0.1,Serious,Visible debris present. Wear appears satisfactory. ISO cleanliness code suggests fluid should be cleaned/filtered. If cleaning not feasible then consider fluid change. If cleanliness not improved on next sample consider checking filtration system if fitted.
15.0,13.0,1.8,0.3,1.2,10.0,3.8,0.0,0.6,0.2,0.5,0.3,0.2,0.9,3637.0,9.4,1174.0,128.0,1442.0,0.0,0.4,3.1,0.2,40.7,0.1,Normal,Condition satisfactory.
0.0,9.6,2.8,0.3,1.6,5.2,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.3,128.0,2.0,335.0,8.9,439.0,0.3,0.0,0.5,0.0,41.3,0.1,Normal,Condition satisfactory.
12.0,5.5,8.2,1.2,5.2,142.0,9.1,1.1,1.4,0.0,2.5,0.0,0.1,3.4,169.0,3.9,447.0,204.0,13.0,0.4,0.2,7.9,0.0,34.6,0.1,Serious,Visible debris present. The level of Iron is higher than expected and suggests wear of gear or shaft type material. Advice : Change oil if not changed when sampled.
17.0,13.0,3.5,0.8,33.0,99.0,1.7,0.8,2.4,0.0,3.2,0.4,0.1,1.1,3371.0,13.0,1247.0,107.0,1343.0,0.2,0.1,1.7,0.0,111.9,0.1,Normal,Condition satisfactory.
14.0,10.0,2.1,0.6,32.0,85.0,2.3,0.7,1.9,0.0,2.6,0.3,0.0,0.8,2508.0,10.0,995.0,76.0,1084.0,0.2,0.1,1.7,0.0,110.3,0.1,Normal,Condition satisfactory.
6.5,8.8,2.7,1.4,2.2,5.2,1.6,1.3,3.2,1.3,1.4,1.3,1.2,2.1,244.0,2.2,362.0,25.0,504.0,1.0,0.9,2.1,1.2,42.3,0.1,Normal,Condition satisfactory.
19.0,8.5,1.9,0.6,90.0,45.0,1.3,3.2,3.0,0.2,1.5,0.2,0.2,1.1,3599.0,15.0,1108.0,116.0,1456.0,0.0,3.2,2.3,0.1,103.2,0.1,Normal,Condition satisfactory.
16.0,12.0,3.4,1.0,30.0,103.0,1.3,0.0,2.8,0.1,3.6,0.5,0.2,0.7,3269.0,14.0,1243.0,104.0,1314.0,0.1,0.2,1.7,0.1,111.4,0.1,Normal,Condition satisfactory.
12.0,7.5,2.0,0.2,0.7,8.8,6.7,0.0,0.6,0.1,0.3,0.1,0.2,1.0,1160.0,4.2,600.0,154.0,485.0,0.0,0.2,4.5,0.2,35.1,0.1,Caution,Low viscosity noted. Visible debris present. Since no abnormal wear; contamination may have occured at sampling. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
17.0,12.0,3.9,1.1,29.0,109.0,5.6,0.0,5.0,0.0,8.0,0.2,0.1,1.4,3405.0,13.0,1713.0,104.0,1427.0,2.4,0.2,1.7,0.1,120.1,0.1,Serious,Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
16.0,9.0,2.2,0.7,16.0,65.0,3.9,0.0,3.6,0.0,3.8,0.1,0.1,0.8,2692.0,9.5,1408.0,81.0,1110.0,1.7,0.1,1.4,0.0,122.8,0.1,Serious,Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
5.7,4.7,1.3,0.6,1.9,5.2,1.3,0.3,0.3,0.0,0.1,0.1,0.0,0.7,104.0,2.9,336.0,5.7,436.0,0.0,0.1,1.2,0.0,41.9,0.1,Normal,Condition satisfactory.
17.0,17.0,1.5,0.3,13.0,24.0,90.0,0.0,4.1,0.0,0.7,0.1,0.0,4.1,3447.0,11.0,1072.0,100.0,1416.0,0.0,0.8,2.1,0.0,103.3,0.1,Caution,Visible debris present. The level of Lead suggests possible wear of a bearing or bush type material. Advice : Resample at the next service intervention.
16.0,11.0,2.7,1.0,32.0,83.0,5.6,0.4,4.2,0.0,9.1,0.2,0.0,0.4,2918.0,10.0,1503.0,89.0,1214.0,2.0,0.1,1.6,0.0,121.4,0.1,Serious,Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
14.0,12.0,4.4,0.1,0.6,23.0,3.0,0.0,0.1,0.0,0.3,0.0,0.1,0.3,3473.0,7.8,1188.0,118.0,1465.0,0.0,0.1,2.6,0.0,39.1,0.1,Caution,Low viscosity noted. Visible debris present. Since no abnormal wear; contamination may have occured at sampling. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
1.1,6.8,5.4,0.5,54.0,15.0,0.5,2.4,87.0,1.5,1.4,0.9,0.8,0.0,2795.0,433.0,827.0,51.0,1116.0,0.7,0.1,5.2,0.4,85.3,0.1,Serious,Copper level evident; but not significant and possibly indicates acceptable leeching from copper based components or copper oil cooler if fitted. Advice : Resample at the next service intervention.
9.7,12.0,5.0,0.1,1.3,151.0,1.4,0.3,0.4,0.0,1.0,0.0,0.1,0.3,3422.0,7.2,1251.0,108.0,1495.0,0.6,0.0,1.9,0.2,37.9,0.1,Serious,Visible debris present. The level of Iron is higher than expected and suggests wear of gear or shaft type material. Advice : Change oil if not changed when sampled.
0.0,2.1,0.6,0.1,1.2,3.0,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.1,92.0,4.1,320.0,3.5,437.0,0.4,0.0,0.2,0.0,42.9,0.1,Normal,Condition satisfactory.
17.0,17.0,5.2,1.4,86.0,136.0,5.0,0.0,0.0,0.0,6.6,0.4,0.1,0.3,3237.0,11.0,1047.0,109.0,1311.0,2.1,0.1,2.3,0.0,108.5,0.1,Serious,Visible debris present (metal / metal-like particles). The level of Copper suggests wear of bearing; bush or bearing cage type material. Advice : Change oil if not changed when sampled. Check unit for abnormal noise and heat and feedback findings before next sample.
